Br,C,Cl,F,H,N,O,S
0,17,0,0,26,2,3,0
0,17,0,0,26,2,3,0
0,17,0,0,26,2,3,0
0,17,0,0,26,2,3,0
0,14,0,0,20,2,3,0
0,14,0,0,20,2,3,0
0,14,0,0,20,2,3,0
0,14,0,0,20,2,3,0
0,14,0,0,20,2,3,0
0,13,0,0,18,2,3,0
0,13,0,0,18,2,3,0
0,13,0,0,18,2,3,0
0,13,0,0,18,2,3,0
0,13,0,0,18,2,3,0
0,13,0,0,18,2,3,0
0,13,0,0,18,2,3,0
0,15,0,0,16,2,3,0
0,15,0,0,16,2,3,0
0,15,0,0,16,2,3,0
0,15,0,0,16,2,3,0
0,15,0,0,16,2,3,0
0,15,0,0,16,2,3,0
0,16,0,0,19,3,2,1
0,16,0,0,19,3,2,1
0,16,0,0,19,3,2,1
0,16,0,0,19,3,2,1
0,16,0,0,19,3,2,1
0,16,0,0,19,3,2,1
0,16,0,0,19,3,2,1
0,16,0,0,19,3,2,1
0,16,0,0,19,3,2,1
0,16,0,0,19,3,2,1
0,16,0,0,19,3,2,1
0,16,0,0,19,3,2,1
0,14,0,0,13,5,1,1
0,20,0,0,16,0,4,0
0,20,0,0,16,0,4,0
0,20,0,0,16,0,4,0
0,20,0,0,16,0,4,0
0,14,0,0,14,4,2,0
0,14,0,0,14,4,2,0
0,15,0,0,22,6,3,0
0,15,0,0,22,6,3,0
0,15,0,0,22,6,3,0
0,16,0,0,24,6,3,0
0,16,0,0,24,6,3,0
0,16,0,0,24,6,3,0
0,12,0,1,15,2,3,1
0,12,0,1,15,2,3,1
0,12,0,1,15,2,3,1
0,12,0,1,15,2,3,1
0,12,0,1,15,2,3,1
0,15,1,0,14,1,4,1
0,15,1,0,14,1,4,1
0,15,1,0,14,1,4,1
0,15,1,0,14,1,4,1
0,15,1,0,14,1,4,1
0,15,0,0,22,2,4,1
0,15,0,0,22,2,4,1
0,15,0,0,22,2,4,1
0,15,0,0,22,2,4,1
0,15,0,0,22,2,4,1
0,15,0,0,22,2,4,1
0,15,0,0,22,2,4,1
0,15,0,0,22,2,4,1
0,15,0,0,22,2,3,1
0,15,0,0,22,2,3,1
0,15,0,0,22,2,3,1
0,15,0,0,22,2,3,1
0,15,0,0,22,2,3,1
0,15,0,0,22,2,3,1
0,15,0,0,22,2,3,1
0,16,0,0,19,3,4,1
0,16,0,0,19,3,4,1
0,16,0,0,19,3,4,1
0,16,0,0,19,3,4,1
0,16,0,0,19,3,4,1
0,16,0,0,19,3,4,1
0,16,0,0,19,3,4,1
0,16,0,0,19,3,4,1
0,16,0,0,19,3,4,1
0,16,0,0,19,3,4,1
0,17,0,0,16,2,1,1
0,17,0,0,16,2,1,1
0,17,0,0,16,2,1,1
0,17,0,0,16,2,1,1
0,17,0,0,16,2,1,1
0,17,0,0,26,2,3,1
0,17,0,0,26,2,3,1
0,17,0,0,26,2,3,1
0,17,0,0,26,2,3,1
0,16,0,0,24,2,4,1
0,16,0,0,24,2,4,1
0,16,0,0,24,2,4,1
0,16,0,0,24,2,4,1
0,13,0,0,18,2,3,1
0,13,0,0,18,2,3,1
0,13,0,0,18,2,3,1
0,13,0,0,18,2,3,1
0,13,0,0,18,2,3,1
0,13,0,0,18,2,3,1
0,15,0,1,16,3,3,1
0,15,0,1,16,3,3,1
0,15,0,1,16,3,3,1
0,15,0,1,16,3,3,1
0,15,0,1,16,3,3,1
0,15,0,1,16,3,3,1
0,15,0,1,16,3,3,1
0,15,0,1,16,3,3,1
0,15,0,1,16,3,3,1
0,14,0,0,20,2,4,1
0,14,0,0,20,2,4,1
0,14,0,0,20,2,4,1
0,14,0,0,20,2,4,1
0,14,0,0,20,2,4,1
0,12,1,0,15,2,3,1
0,12,1,0,15,2,3,1
0,12,1,0,15,2,3,1
0,12,1,0,15,2,3,1
0,12,1,0,15,2,3,1
0,16,0,0,15,3,3,1
0,16,0,0,15,3,3,1
0,16,0,0,15,3,3,1
0,16,0,0,15,3,3,1
0,17,0,0,19,1,2,1
0,17,0,0,19,1,2,1
0,17,0,0,19,1,2,1
0,17,0,0,19,1,2,1
0,17,0,0,19,1,2,1
0,17,0,0,19,1,2,1
0,17,0,0,19,1,2,1
0,17,0,0,19,1,2,1
0,17,0,0,19,1,2,1
0,17,0,0,19,1,2,1
0,14,0,0,20,2,4,1
0,14,0,0,20,2,4,1
0,14,0,0,20,2,4,1
0,14,0,0,20,2,4,1
0,14,0,0,20,2,4,1
0,14,0,0,20,2,4,1
0,14,0,0,20,2,4,1
0,14,0,0,20,2,4,1
0,14,0,0,20,2,4,1
0,18,0,0,20,2,3,1
0,18,0,0,20,2,3,1
0,18,0,0,20,2,3,1
0,18,0,0,20,2,3,1
0,18,0,0,20,2,3,1
0,18,0,0,20,2,3,1
0,18,0,0,20,2,3,1
0,18,0,0,20,2,3,1
0,16,0,0,19,3,4,1
0,16,0,0,19,3,4,1
0,16,0,0,19,3,4,1
0,16,0,0,19,3,4,1
0,16,0,0,19,3,4,1
0,16,0,0,19,3,4,1
0,16,0,0,19,3,4,1
0,15,1,0,14,1,4,1
0,15,1,0,14,1,4,1
0,15,1,0,14,1,4,1
0,15,1,0,14,1,4,1
0,15,1,0,14,1,4,1
0,14,0,0,20,2,3,1
0,14,0,0,20,2,3,1
0,14,0,0,20,2,3,1
0,14,0,0,20,2,3,1
0,14,0,0,20,2,3,1
0,14,0,0,20,2,3,1
0,14,0,0,20,2,3,1
0,14,0,0,20,2,3,1
0,16,0,0,24,2,3,1
0,16,0,0,24,2,3,1
0,16,0,0,24,2,3,1
0,16,0,0,24,2,3,1
0,16,0,0,24,2,3,1
0,16,0,0,24,2,3,1
0,16,0,0,24,2,3,1
0,15,0,0,16,2,1,1
0,15,0,0,16,2,1,1
0,15,0,0,16,2,1,1
0,15,0,0,16,2,1,1
0,15,0,0,16,2,1,1
0,15,0,0,16,2,1,1
0,15,0,0,16,2,1,1
0,15,0,1,14,1,2,0
0,15,0,1,14,1,2,0
0,15,0,1,14,1,2,0
0,16,0,0,24,2,3,0
0,16,0,0,24,2,3,0
0,16,0,0,24,2,3,0
0,16,0,0,24,2,3,0
0,16,0,0,24,2,3,0
0,16,0,0,24,2,3,0
0,16,0,0,24,2,3,0
0,16,0,0,24,2,3,0
0,16,0,0,24,2,3,0
0,16,0,0,24,2,3,0
0,16,0,0,24,2,3,0
0,16,0,0,24,2,3,0
0,16,0,0,24,2,3,0
0,16,0,0,24,2,3,0
0,16,0,0,24,2,3,0
0,16,0,0,24,2,3,0
0,16,0,0,24,2,3,0
0,16,0,0,24,2,3,0
0,16,0,0,24,2,3,0
0,16,0,0,24,2,3,0
0,16,0,0,24,2,3,0
0,16,0,0,24,2,3,0
0,16,0,0,24,2,3,0
0,16,0,0,24,2,3,0
0,16,0,0,24,2,3,0
0,16,0,0,24,2,3,0
0,16,0,0,24,2,3,0
0,14,0,0,20,2,3,0
0,14,0,0,20,2,3,0
0,14,0,0,20,2,3,0
0,14,0,0,20,2,3,0
0,14,0,0,20,2,3,0
0,14,0,0,20,2,3,0
0,14,0,0,20,2,3,0
0,15,0,0,14,2,2,0
0,13,0,0,15,5,1,1
0,13,0,0,15,5,1,1
0,13,0,0,15,5,1,1
0,13,0,0,15,5,1,1
0,13,0,0,13,1,3,1
0,18,0,0,19,3,1,0
0,18,0,0,19,3,1,0
0,18,0,0,19,3,1,0
0,18,0,0,19,3,1,0
0,18,0,0,19,3,1,0
0,18,0,0,19,3,1,0
0,18,0,0,19,3,1,0
0,15,0,1,15,2,3,0
0,15,0,1,15,2,3,0
0,15,0,1,15,2,3,0
0,15,0,1,15,2,3,0
0,15,0,1,15,2,3,0
0,12,0,0,12,4,2,1
0,12,0,0,12,4,2,1
0,15,0,0,16,4,1,0
0,15,0,0,16,4,1,0
0,15,0,0,16,4,1,0
0,15,0,0,16,4,1,0
0,15,0,0,16,4,1,0
0,17,0,0,15,3,1,0
0,17,0,0,15,3,1,0
0,17,0,0,15,3,1,0
0,13,0,0,12,4,1,1
0,13,0,0,12,4,1,1
0,13,0,0,12,4,1,1
0,17,0,0,22,2,3,0
0,17,0,0,22,2,3,0
0,17,0,0,22,2,3,0
0,17,0,0,22,2,3,0
0,17,0,0,22,2,3,0
0,17,0,0,22,2,3,0
0,17,0,0,22,2,3,0
0,17,0,0,22,2,3,0
0,17,0,0,22,2,3,0
0,12,0,0,9,5,2,1
0,12,0,0,9,5,2,1
0,12,0,0,9,5,2,1
0,14,0,0,18,4,3,0
0,14,0,0,18,4,3,0
0,14,0,0,18,4,3,0
0,14,0,0,18,4,3,0
0,14,0,0,18,4,3,0
0,14,0,0,18,4,3,0
0,16,0,0,17,3,4,1
0,16,0,0,17,3,4,1
0,16,0,0,17,3,4,1
0,16,0,0,17,3,4,1
0,16,0,0,17,3,4,1
0,16,0,0,17,3,4,1
0,16,0,0,17,3,4,1
0,16,0,0,17,3,4,1
0,16,0,0,17,3,4,1
0,16,0,0,17,3,4,1
0,16,0,0,17,3,4,1
0,16,0,0,17,3,4,1
0,18,0,0,23,3,4,0
0,18,0,0,23,3,4,0
0,18,0,0,23,3,4,0
0,18,0,0,23,3,4,0
0,18,0,0,23,3,4,0
0,18,0,0,23,3,4,0
0,18,0,0,23,3,4,0
0,18,0,0,23,3,4,0
0,18,0,0,23,3,4,0
0,18,0,0,23,3,4,0
0,18,0,0,23,3,4,0
0,18,0,0,23,3,4,0
0,18,0,0,23,3,4,0
0,18,0,0,23,3,4,0
0,18,0,0,23,3,4,0
0,18,0,0,23,3,4,0
0,18,0,0,23,3,4,0
0,18,0,0,23,3,4,0
0,18,0,0,23,3,4,0
0,18,0,0,23,3,4,0
0,18,0,0,23,3,4,0
0,18,0,0,23,3,4,0
0,13,0,2,8,4,2,0
0,16,0,0,16,6,2,0
0,16,0,0,16,6,2,0
0,16,0,0,16,6,2,0
0,16,0,0,16,6,2,0
0,16,0,0,16,6,2,0
0,16,0,0,16,6,2,0
0,16,0,0,16,6,2,0
0,16,0,0,14,2,1,0
0,15,0,0,20,2,5,1
0,15,0,0,20,2,5,1
0,15,0,0,20,2,5,1
0,15,0,0,20,2,5,1
0,14,0,1,12,3,3,1
0,14,0,1,12,3,3,1
0,14,0,1,12,3,3,1
0,14,0,1,12,3,3,1
0,14,0,1,12,3,3,1
0,14,0,1,12,3,3,1
0,15,0,0,15,3,3,1
0,15,0,0,15,3,3,1
0,15,0,0,15,3,3,1
0,15,0,0,15,3,3,1
0,15,0,0,15,3,3,1
0,15,0,0,15,3,3,1
0,15,0,0,15,3,3,1
0,15,0,0,15,3,3,1
0,15,0,0,15,3,3,1
0,15,0,0,15,3,3,1
0,15,0,0,15,3,3,1
0,15,0,0,15,3,3,1
0,16,0,0,21,3,3,0
0,16,0,0,21,3,3,0
0,16,0,0,21,3,3,0
0,16,0,0,21,3,3,0
0,16,0,0,21,3,3,0
0,16,0,0,21,3,3,0
0,16,0,0,21,3,3,0
0,16,0,0,21,3,3,0
0,16,0,0,21,3,3,0
0,16,0,0,21,3,3,0
0,16,0,0,21,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,16,0,0,19,3,3,0
0,16,0,0,19,3,3,0
0,16,0,0,19,3,3,0
0,16,0,0,19,3,3,0
0,16,0,0,19,3,3,0
0,16,0,0,19,3,3,0
0,16,0,0,19,3,3,0
0,16,0,0,19,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,17,0,0,23,3,3,0
0,19,0,0,19,3,3,0
0,19,0,0,19,3,3,0
0,19,0,0,19,3,3,0
0,19,0,0,19,3,3,0
0,19,0,0,19,3,3,0
0,19,0,0,19,3,3,0
0,19,0,0,19,3,3,0
0,19,0,0,19,3,3,0
0,19,0,0,19,3,3,0
0,14,0,0,14,4,4,1
0,14,0,0,14,4,4,1
0,14,0,0,14,4,4,1
0,14,0,0,14,4,4,1
0,14,0,0,14,4,4,1
0,14,0,0,14,4,4,1
0,13,0,0,12,4,3,1
0,13,0,0,12,4,3,1
0,13,0,0,12,4,3,1
0,12,0,0,13,5,3,1
0,12,0,0,13,5,3,1
0,12,0,0,13,5,3,1
0,16,0,0,22,4,1,1
0,16,0,0,22,4,1,1
0,16,0,0,22,4,1,1
0,16,0,0,22,4,1,1
0,16,0,0,22,4,1,1
0,16,0,0,22,4,1,1
0,16,0,0,22,4,1,1
0,16,0,0,22,4,1,1
0,16,0,0,22,4,1,1
0,16,0,0,22,4,1,1
0,16,0,0,22,4,1,1
0,14,1,0,14,3,1,1
0,14,1,0,14,3,1,1
0,14,1,0,14,3,1,1
0,14,1,0,14,3,1,1
0,14,1,0,14,3,1,1
0,14,1,0,14,3,1,1
0,14,1,0,14,3,1,1
0,14,1,0,14,3,1,1
0,17,0,1,17,2,3,0
0,17,0,1,17,2,3,0
0,17,0,1,17,2,3,0
0,14,0,0,15,3,3,1
0,14,0,0,15,3,3,1
0,14,0,0,15,3,3,1
1,13,0,0,17,2,3,0
1,13,0,0,17,2,3,0
1,13,0,0,17,2,3,0
1,13,0,0,17,2,3,0
1,13,0,0,17,2,3,0
1,13,0,0,17,2,3,0
0,10,0,0,15,3,3,1
0,10,0,0,15,3,3,1
0,10,0,0,15,3,3,1
0,10,0,0,15,3,3,1
0,13,0,2,16,2,3,0
0,13,0,2,16,2,3,0
0,13,0,2,16,2,3,0
0,13,0,2,16,2,3,0
0,13,0,2,16,2,3,0
0,13,0,2,16,2,3,0
0,13,0,2,16,2,3,0
0,13,0,2,16,2,3,0
0,13,0,2,16,2,3,0
0,14,0,1,19,2,3,0
0,14,0,1,19,2,3,0
0,14,0,1,19,2,3,0
0,14,0,1,19,2,3,0
0,14,0,1,19,2,3,0
0,14,0,2,15,3,1,1
0,14,0,2,15,3,1,1
0,14,0,2,15,3,1,1
0,14,0,2,15,3,1,1
0,14,0,2,15,3,1,1
0,14,0,2,15,3,1,1
0,14,0,2,15,3,1,1
0,14,0,2,15,3,1,1
0,15,1,1,13,3,2,0
0,15,1,1,13,3,2,0
0,15,1,1,13,3,2,0
0,14,0,1,14,3,1,1
0,14,0,1,14,3,1,1
0,14,0,1,14,3,1,1
0,14,0,1,14,3,1,1
0,14,0,1,14,3,1,1
0,14,0,0,16,4,1,1
0,14,0,0,16,4,1,1
0,14,0,0,16,4,1,1
0,14,0,0,16,4,1,1
0,14,0,0,16,4,1,1
0,16,0,0,15,3,3,0
0,16,0,0,15,3,3,0
0,16,0,0,15,3,3,0
0,12,0,0,13,5,0,1
0,12,0,0,13,5,0,1
0,12,0,0,13,5,0,1
0,12,0,0,13,5,0,1
0,12,0,0,13,5,0,1
0,14,0,0,12,4,2,0
0,14,0,0,12,4,2,0
0,15,0,1,12,3,2,0
0,15,0,1,12,3,2,0
0,15,0,1,12,3,2,0
0,15,0,1,12,3,2,0
0,12,0,2,10,6,0,0
0,12,0,2,10,6,0,0
0,17,1,0,15,4,1,0
0,17,1,0,15,4,1,0
0,17,1,0,15,4,1,0
0,17,1,0,15,4,1,0
0,17,1,0,15,4,1,0
0,17,1,0,15,4,1,0
0,14,0,0,12,2,3,0
0,14,0,0,12,2,3,0
0,15,0,0,15,1,3,1
0,15,0,0,15,1,3,1
0,15,0,0,16,6,0,0
0,15,0,0,16,6,0,0
0,15,0,0,16,6,0,0
0,12,0,0,18,4,2,0
0,12,0,0,18,4,2,0
0,12,0,0,18,4,2,0
0,12,0,0,18,4,2,0
0,12,0,0,18,4,2,0
0,12,0,0,18,4,2,0
0,12,0,0,18,4,2,0
0,15,0,0,15,3,1,1
0,15,0,0,15,3,1,1
0,15,0,0,15,3,1,1
0,15,0,0,15,3,1,1
0,13,0,0,11,5,0,1
0,13,0,0,11,5,0,1
0,13,0,1,13,6,0,0
0,13,0,1,13,6,0,0
0,13,0,1,13,6,0,0
0,13,0,1,13,6,0,0
0,17,1,0,20,5,1,0
0,17,1,0,20,5,1,0
0,17,1,0,20,5,1,0
0,16,0,0,27,5,1,0
0,16,0,0,27,5,1,0
0,16,0,0,27,5,1,0
0,16,0,0,27,5,1,0
0,16,0,0,27,5,1,0
0,15,0,0,13,3,1,1
0,15,0,0,13,3,1,1
0,15,0,0,13,3,1,1
0,13,0,0,16,2,2,1
0,13,0,0,16,2,2,1
0,13,0,0,16,2,2,1
0,18,0,0,17,1,4,0
0,18,0,0,17,1,4,0
0,18,0,0,17,1,4,0
0,18,0,0,17,1,4,0
0,18,0,0,17,1,4,0
0,18,0,0,17,1,4,0
0,18,0,0,17,1,4,0
0,14,0,2,12,2,2,1
0,14,0,2,12,2,2,1
0,14,0,2,12,2,2,1
0,14,0,2,12,2,2,1
0,14,0,2,12,2,2,1
0,16,0,0,19,3,3,1
0,16,0,0,19,3,3,1
0,16,0,0,19,3,3,1
0,16,0,0,19,3,3,1
0,16,0,0,19,3,3,1
0,16,0,0,19,3,3,1
0,16,0,0,19,3,3,1
0,16,0,0,19,3,3,1
0,16,0,0,19,3,3,1
0,16,0,0,19,3,3,1
0,16,0,0,19,3,3,1
0,20,0,0,19,3,2,0
0,20,0,0,19,3,2,0
0,20,0,0,19,3,2,0
0,20,0,0,19,3,2,0
0,20,0,0,19,3,2,0
0,20,0,0,19,3,2,0
0,20,0,0,19,3,2,0
0,20,0,0,19,3,2,0
0,16,0,3,19,2,2,0
0,16,0,3,19,2,2,0
0,16,1,0,16,3,2,0
0,16,1,0,16,3,2,0
0,16,1,0,16,3,2,0
0,16,1,0,16,3,2,0
0,16,1,0,16,3,2,0
0,16,1,0,16,3,2,0
0,16,1,0,16,3,2,0
0,15,1,0,14,3,2,0
0,15,1,0,14,3,2,0
0,15,1,0,14,3,2,0
0,15,1,0,14,3,2,0
0,15,1,0,14,3,2,0
0,19,0,0,21,3,2,0
0,19,0,0,21,3,2,0
0,19,0,0,21,3,2,0
0,19,0,0,21,3,2,0
0,19,0,0,21,3,2,0
0,19,0,0,21,3,2,0
0,19,0,0,21,3,2,0
0,19,0,0,21,3,2,0
0,19,0,0,21,3,2,0
0,19,0,0,20,2,2,0
0,19,0,0,20,2,2,0
0,19,0,0,20,2,2,0
0,19,0,0,20,2,2,0
0,19,0,0,20,2,2,0
0,19,0,0,20,2,2,0
0,19,0,0,20,2,2,0
0,19,0,0,20,2,2,0
0,19,0,0,20,2,2,0
0,19,0,0,20,2,2,0
0,19,0,0,20,2,2,0
0,19,0,0,20,2,2,0
0,19,0,0,20,2,2,0
0,19,0,0,20,2,2,0
0,14,0,0,12,4,1,0
0,13,0,0,18,2,3,0
0,13,0,0,18,2,3,0
0,13,0,0,18,2,3,0
0,18,0,0,20,2,3,0
0,18,0,0,20,2,3,0
0,18,0,0,20,2,3,0
0,18,0,0,20,2,3,0
0,16,0,0,18,2,2,1
0,16,0,0,18,2,2,1
0,16,0,0,18,2,2,1
0,16,0,0,18,2,2,1
0,16,0,0,18,2,2,1
0,16,0,0,18,2,2,1
0,16,0,0,18,2,2,1
0,16,0,0,13,3,1,0
0,16,0,0,17,3,2,0
0,16,0,0,17,3,2,0
0,15,0,0,18,4,3,0
0,15,0,0,18,4,3,0
0,15,0,0,18,4,3,0
0,15,0,0,18,4,3,0
0,15,0,0,18,4,3,0
0,15,0,0,18,4,3,0
0,15,0,0,18,4,3,0
0,15,0,0,18,4,3,0
0,18,0,0,24,2,3,0
0,18,0,0,24,2,3,0
0,17,0,0,16,2,3,1
0,17,0,0,16,2,3,1
0,17,0,0,16,2,3,1
0,17,0,0,16,2,3,1
0,17,0,0,16,2,3,1
0,17,0,0,16,2,4,1
0,17,0,0,16,2,4,1
0,17,0,0,16,2,4,1
0,17,0,0,16,2,4,1
0,16,0,0,16,2,4,1
0,16,0,0,16,2,4,1
0,16,0,0,16,2,4,1
0,16,0,0,16,2,4,1
0,16,0,0,16,2,4,1
0,16,0,0,16,2,4,1
0,16,0,0,16,2,4,1
0,16,0,0,16,2,4,1
0,16,0,0,16,2,4,1
0,16,0,0,16,2,4,1
0,16,0,0,16,2,4,1
0,16,0,0,16,2,4,1
0,16,0,0,16,2,4,1
0,16,0,0,16,2,4,1
0,16,0,0,16,2,4,1
0,16,0,0,16,2,4,1
0,16,0,0,16,2,4,1
0,17,0,0,18,2,4,1
0,17,0,0,18,2,4,1
0,17,0,0,18,2,4,1
0,17,0,0,18,2,4,1
0,17,0,0,18,2,4,1
0,17,0,0,18,2,4,1
0,17,0,0,18,2,4,1
0,17,0,0,18,2,4,1
0,17,0,0,18,2,4,1
0,17,0,0,18,2,4,1
0,17,0,0,18,2,4,1
0,17,0,0,18,2,4,1
0,17,0,0,18,2,4,1
0,17,0,0,18,2,4,1
0,17,0,0,18,2,4,1
0,17,0,0,18,2,4,1
0,16,0,0,16,2,5,1
0,16,0,0,16,2,5,1
0,16,0,0,16,2,5,1
0,16,0,0,16,2,5,1
0,16,0,0,16,2,5,1
0,16,0,0,16,2,4,1
0,16,0,0,16,2,4,1
0,16,0,0,16,2,4,1
0,16,0,0,16,2,4,1
0,16,0,0,16,2,4,1
0,16,0,0,16,2,4,1
0,16,0,0,16,2,4,1
0,16,0,0,16,2,4,1
0,16,0,0,16,2,4,1
0,16,0,0,16,2,4,1
0,16,0,0,16,2,4,1
0,16,0,0,16,2,4,1
0,16,0,0,23,3,3,1
0,16,0,0,23,3,3,1
0,16,0,0,23,3,3,1
0,16,0,0,23,3,3,1
0,16,0,0,23,3,3,1
0,16,0,0,23,3,3,1
0,11,1,0,9,4,3,0
0,18,0,0,16,2,3,1
0,18,0,0,16,2,3,1
0,18,0,0,16,2,3,1
0,18,0,0,16,2,3,1
0,18,0,0,16,2,3,1
1,11,0,0,12,3,2,1
1,11,0,0,12,3,2,1
1,11,0,0,12,3,2,1
1,11,0,0,12,3,2,1
0,13,0,0,17,3,4,1
0,13,0,0,17,3,4,1
0,13,0,0,17,3,4,1
0,13,0,0,17,3,2,1
0,13,0,0,17,3,2,1
0,13,0,0,17,3,2,1
0,13,0,0,17,3,2,1
0,13,0,0,17,3,2,1
0,14,0,0,15,3,2,0
0,18,0,0,23,3,2,0
0,18,0,0,23,3,2,0
0,12,0,0,15,3,3,1
0,12,0,0,15,3,3,1
0,12,0,0,15,3,3,1
0,12,0,0,15,3,3,1
0,12,0,0,15,3,3,1
0,12,0,0,15,3,3,1
0,15,0,1,15,4,2,0
0,15,0,1,15,4,2,0
0,15,0,1,15,4,2,0
0,18,0,0,16,4,3,0
0,18,0,0,16,4,3,0
0,18,0,0,16,4,3,0
0,18,0,0,16,4,3,0
0,16,0,0,16,4,3,0
0,16,0,0,16,4,3,0
0,16,0,0,16,4,3,0
0,16,0,0,16,4,3,0
